,Quantity,Rate,Value
Alu Edge C-Type 16*0.6*2.44M Black 01-3731,211 Pcs,76.46,16132.80
Showroom,211 Pcs,76.46,16132.80
Alu Edge C-Type 16*0.6*2.44m Shampain Brush 01-3731,15 Pcs,158.00,2370.00
Showroom,15 Pcs,158.00,2370.00
Alu Edge C-Type 16*0.6*2.44M Shining 01-3731,28 Pcs,33.00,924.00
Showroom,28 Pcs,33.00,924.00
Alu Edge C-Type 17.1*0.6*2.44M Matt Black 01-3744,10 Pcs,,
Showroom,10 Pcs,,
Alu Edge C-Type 18*0.6*2.44m Gold 01-3738,90 Pcs,,
Warehouse Damage,90 Pcs,,
Alu Edge C-Type 18*0.6*2.44M Shampain 01-3731,170 Pcs,2.64,-448.61
Showroom,-5 Pcs,89.72,-448.61
Warehouse Damage,175 Pcs,,
Alu Edge C-Type 18*0.6*2.44M Shining 01-3731,38 Pcs,,
Warehouse Damage,18 Pcs,,
Warehouse Satarkul,20 Pcs,,
Alu Edge C-Type 18.1*0.6*2.44M Matt Black 01-3744,22 Pcs,143.00,3146.00
Warehouse Damage,22 Pcs,143.00,3146.00
Alu Edge C-Type 18.1*0.6*2.44M Matt Silver 01-3744,7 Pcs,107.86,755.00
Showroom,7 Pcs,107.86,755.00
Alu Edge C-Type 18*1*3M Polished 01-3731,55 Pcs,39.43,2168.44
Showroom,46 Pcs,47.14,2168.44
Warehouse Damage,9 Pcs,,
Alu Edge C-Type 18*1*3M Shampain Brush 01-3731,143 Pcs,,
Showroom,143 Pcs,,
Alu Edge C-Type 18*1*3M Shining Brush 01-3731,176 Pcs,36.10,6353.14
Showroom,176 Pcs,36.10,6353.14
Alu Edge C-Type 19.5*0.6*2.44M  Matt Black 01-3744,5 Pcs,6.60,32.98
Showroom,5 Pcs,6.60,32.98
Alu Edge C-Type 19.5*0.6*2.44M Matt Silver 01-3744,125 Pcs,26.88,3360.00
Showroom,105 Pcs,,
Warehouse Damage,20 Pcs,168.00,3360.00
Alu Edge C-Type 19.5*0.6*2.44M Sand Shampain 01-3729,179 Pcs,38.04,6809.76
Showroom,149 Pcs,45.70,6809.76
Warehouse Satarkul,30 Pcs,,
Alu Edge C-Type 19.5*0.6*2.44M  Shining  01-3731,785 Pcs,28.13,22082.16
Showroom,507 Pcs,23.81,12072.16
Warehouse Damage,70 Pcs,143.00,10010.00
Warehouse Satarkul,208 Pcs,,
Alu Edge C-Type 19.5*0.6*3M Matt Silver 01-3744,324 Pcs,36.64,11870.52
Showroom,224 Pcs,52.99,11870.52
Warehouse Satarkul,100 Pcs,,
Alu Edge C-Type 19.5*1*2.44M Polished 01-3731,435 Pcs,8.30,3608.74
Showroom,135 Pcs,26.73,3608.74
Warehouse Satarkul,300 Pcs,,
Alu Edge C-Type 19.5*1*2.44M Shampain 01-3731,20 Pcs,158.00,3160.00
Showroom,20 Pcs,158.00,3160.00
Alu Edge C-Type 19.5*1*3M Champaign Brush 01-3731,13 Pcs,29.83,387.84
Showroom,13 Pcs,29.83,387.84
Alu Edge C-Type 19.5*1*3M Polished 01-3731,28 Pcs,135.61,3796.99
Showroom,28 Pcs,135.61,3796.99
Alu Edge C-Type 20.5*0.6*2.44m Matt Black 01-3737,10 Pcs,67.27,672.72
Showroom,10 Pcs,67.27,672.72
Alu Edge C-Type 20.5*0.6*2.44M  Matt Silver 01-3737,40 Pcs,123.34,4933.48
Showroom,40 Pcs,123.34,4933.48
Alu Edge C-Type 20.5*0.6*2.44m Shampain 01-3738,-1 Pcs,169.00,-169.00
Showroom,-1 Pcs,169.00,-169.00
Alu Edge C-Type 20.5*0.6*2.44m Shampain Hair Line 01-3738,411 Pcs,6.96,2859.60
Showroom,411 Pcs,6.96,2859.60
Alu Edge C-Type 20.5*0.6*2.44m Shining 01-3738,59 Pcs,60.15,-3549.00
Showroom,-21 Pcs,169.00,-3549.00
Warehouse Damage,80 Pcs,,
Alu Edge C-Type 20.5*1*2.44M Polished 01-3730,41 Pcs,72.56,2975.10
Showroom,41 Pcs,72.56,2975.10
Alu Edge C-Type 21*0.6*2.44M Matt Black 01-3745,3 Pcs,104.04,312.13
Showroom,3 Pcs,104.04,312.13
Alu Edge C-Type 21*0.6*2.44M Matt Silver 01-3745,22 Pcs,116.97,2573.23
Showroom,22 Pcs,116.97,2573.23
Alu Edge C-Type 21*0.6*2.44M Shampain 01-3739,21 Pcs,102.56,2153.85
Showroom,16 Pcs,79.62,1273.85
Warehouse Damage,5 Pcs,176.00,880.00
Alu Edge C-Type 21*0.6*2.44M Shampain Hairline 01-3739,14 Pcs,48.84,683.70
Showroom,14 Pcs,48.84,683.70
Alu Edge C-Type 21*0.6*2.44M Shining 01-3739,399 Pcs,13.54,5402.99
Showroom,99 Pcs,54.58,5402.99
Warehouse Satarkul,300 Pcs,,
Alu Edge F-Type 18*1*2.44M Shining 01-3721,495 Pcs,146.76,72643.96
Showroom,280 Pcs,259.44,72643.96
Warehouse Satarkul,215 Pcs,,
Alu Edge F-Type 18*1*3M Champaign Hair Line 01-3732,32 Pcs,329.75,10552.08
Showroom,32 Pcs,329.75,10552.08
Alu Edge F-Type 18*1*3M Shampain 01-3721,75 Pcs,30.48,2285.78
Showroom,13 Pcs,175.83,2285.78
Warehouse Satarkul,62 Pcs,,
Alu Edge F-Type 18*1*3M Shining 01-3732,280 Pcs,138.97,38912.69
Showroom,80 Pcs,202.53,16202.45
Warehouse Satarkul,200 Pcs,113.55,22710.24
Alu Edge F-Type 18*1*3M Shining Hair Line 01-3732,374 Pcs,13.01,4866.03
Showroom,119 Pcs,40.89,4866.03
Warehouse Satarkul,255 Pcs,,
Alu Edge F-Type 19.2*1*2.44M Shampain 01-3721,353 Pcs,119.41,42151.02
Showroom,53 Pcs,188.54,9992.62
Warehouse Satarkul,300 Pcs,107.19,32158.40
Alu Edge F-Type 19.5*1*3M Shampain Hairline 01-3721,270 Pcs,,
Showroom,270 Pcs,,
Alu Edge F-Type 19.5*1*3M Shining 01-3721,444 Pcs,212.33,94274.31
Showroom,444 Pcs,212.33,94274.31
Alu Edge F-Type 20.5*0.6*2.44m Shampain 01-3742,24 Pcs,166.03,3984.66
Showroom,24 Pcs,166.03,3984.66
Alu Edge F-Type 20.5*1*2.44m Shining 01-3742,365 Pcs,194.78,71095.26
Showroom,365 Pcs,194.78,71095.26
Alu Edge F-Type 20.5*1*3M Polished 01-3730,806 Pcs,73.97,59617.75
Showroom,260 Pcs,229.30,59617.75
Warehouse Satarkul,546 Pcs,,
Alu Edge F-Type 21*0.6*2.44M Shining 01-3743,223 Pcs,172.58,38485.04
Showroom,223 Pcs,172.58,38485.04
Alu Edge GL012 F-Type X3M Black -Matt 01-3733,775 Pcs,72.84,56452.81
Showroom,135 Pcs,418.17,56452.81
Warehouse Satarkul,640 Pcs,,
Alu Edge GL012 F-Type X3M Silver -Matt 01-3733,570 Pcs,59.30,33799.55
Showroom,90 Pcs,375.55,33799.55
Warehouse Satarkul,480 Pcs,,
Alu Edge GL074 F 19.3x3M Silver Matt 01-3704,1344 Pcs,70.63,94923.12
Showroom,344 Pcs,275.94,94923.12
Warehouse Satarkul,1000 Pcs,,
